"",0.300
217.7083,-4.0207E+002
217.7500,-4.0254E+002
217.7917,-4.0248E+002
217.8333,-4.0187E+002
217.8750,-4.0077E+002
217.9167,-3.9931E+002
217.9583,-3.9713E+002
218.0000,-3.9614E+002
218.0417,-3.9434E+002
218.0833,-3.8901E+002
218.1250,-3.8492E+002
218.1667,-3.8737E+002
218.2083,-3.8592E+002
218.2500,-3.7996E+002
218.2917,-3.8413E+002
218.3333,-3.8105E+002
218.3750,-3.7849E+002
218.4167,-3.8222E+002
218.4583,-3.8644E+002
218.5000,-3.9023E+002
218.5417,-3.9448E+002
218.5833,-3.9867E+002
218.6250,-4.0267E+002
218.6667,-4.0589E+002
218.7083,-4.0808E+002
218.7500,-4.0923E+002
218.7917,-4.0974E+002
218.8333,-4.0958E+002
218.8750,-4.0877E+002
218.9167,-4.0758E+002
218.9583,-4.0626E+002
219.0000,-4.0471E+002
219.0417,-4.0301E+002
219.0833,-4.0182E+002
219.1250,-4.0010E+002
219.1667,-3.9866E+002
219.2083,-3.9722E+002
219.2500,-3.9289E+002
219.2917,-3.9438E+002
219.3333,-3.9091E+002
219.3750,-3.8922E+002
219.4167,-3.9251E+002
219.4583,-3.9625E+002
219.5000,-4.0012E+002
219.5417,-4.0444E+002
219.5833,-4.0840E+002
219.6250,-4.1254E+002
219.6667,-4.1580E+002
219.7083,-4.1805E+002
219.7500,-4.1901E+002
219.7917,-4.1948E+002
219.8333,-4.1936E+002
219.8750,-4.1874E+002
219.9167,-4.1777E+002
219.9583,-4.1657E+002
220.0000,-4.1532E+002
220.0417,-4.1377E+002
220.0833,-4.1138E+002
220.1250,-4.1024E+002
220.1667,-4.0520E+002
220.2083,-4.0166E+002
220.2500,-3.9911E+002
220.2917,-4.0387E+002
220.3333,-4.0575E+002
220.3750,-4.0508E+002
220.4167,-4.0654E+002
220.4583,-4.0777E+002
220.5000,-4.1068E+002
220.5417,-4.1420E+002
220.5833,-4.1770E+002
220.6250,-4.2124E+002
220.6667,-4.2416E+002
220.7083,-4.2585E+002
220.7500,-4.2662E+002
220.7917,-4.2673E+002
220.8333,-4.2605E+002
220.8750,-4.2487E+002
220.9167,-4.2337E+002
220.9583,-4.2182E+002
221.0000,-4.2000E+002
221.0417,-4.1839E+002
221.0833,-4.1644E+002
221.1250,-4.1222E+002
221.1667,-4.1200E+002
221.2083,-4.0543E+002
221.2500,-4.0771E+002
221.2917,-4.0591E+002
221.3333,-4.0263E+002
221.3750,-4.0553E+002
221.4167,-4.0749E+002
221.4583,-4.1215E+002
221.5000,-4.1810E+002
221.5417,-4.2208E+002
221.5833,-4.1884E+002
221.6250,-4.2060E+002
221.6667,-4.2274E+002
221.7083,-4.2425E+002
221.7500,-4.2498E+002
221.7917,-4.2524E+002
221.8333,-4.2500E+002
221.8750,-4.2394E+002
221.9167,-4.2271E+002
221.9583,-4.2114E+002
222.0000,-4.1955E+002
222.0417,-4.1727E+002
222.0833,-4.1603E+002
222.1250,-4.1435E+002
222.1667,-4.1247E+002
222.2083,-4.1084E+002
222.2500,-4.0775E+002
222.2917,-4.0691E+002
222.3333,-4.0647E+002
222.3750,-4.0632E+002
222.4167,-4.0806E+002
222.4583,-4.1037E+002
222.5000,-4.1377E+002
222.5417,-4.1718E+002
222.5833,-4.2050E+002
222.6250,-4.2393E+002
222.6667,-4.2646E+002
222.7083,-4.2807E+002
222.7500,-4.2932E+002
222.7917,-4.2990E+002
222.8333,-4.2981E+002
222.8750,-4.2912E+002
222.9167,-4.2761E+002
222.9583,-4.2574E+002
223.0000,-4.2536E+002
223.0417,-4.2388E+002
223.0833,-4.2195E+002
223.1250,-4.1700E+002
223.1667,-4.1833E+002
223.2083,-4.1406E+002
223.2500,-4.1302E+002
223.2917,-4.0577E+002
223.3333,-4.0373E+002
223.3750,-4.0772E+002
223.4167,-4.1333E+002
223.4583,-4.1784E+002
223.5000,-4.2373E+002
223.5417,-4.2653E+002
223.5833,-4.2391E+002
223.6250,-4.2726E+002
223.6667,-4.2971E+002
223.7083,-4.3193E+002
223.7500,-4.3318E+002
223.7917,-4.3275E+002
223.8333,-4.3177E+002
223.8750,-4.3061E+002
223.9167,-4.2795E+002
223.9583,-4.2823E+002
224.0000,-4.2246E+002
224.0417,-4.2429E+002
224.0833,-4.2192E+002
224.1250,-4.2193E+002
