"",0.300
208.0208,-6.9259E+001
208.0278,-6.9564E+001
208.0347,-6.9321E+001
208.0417,-8.1319E+001
208.0486,-6.6389E+001
208.0556,-6.6436E+001
208.0625,-6.5990E+001
208.0694,-7.3394E+001
208.0764,-6.5898E+001
208.0833,-6.7652E+001
208.0903,-6.5533E+001
208.0972,-6.5323E+001
208.1042,-6.7834E+001
208.1111,-6.2812E+001
208.1181,-6.2995E+001
208.1250,-7.3555E+001
208.1319,-6.2043E+001
208.1389,-5.9963E+001
208.1458,-6.1468E+001
208.1528,-6.1705E+001
208.1597,-5.9356E+001
208.1667,-5.5786E+001
208.1736,-5.3224E+001
208.1806,-5.5721E+001
208.1875,-5.3437E+001
208.1944,-5.8207E+001
208.2014,-5.0446E+001
208.2083,-5.0339E+001
208.2153,-4.6236E+001
208.2222,-4.4352E+001
208.2292,-4.3394E+001
208.2361,-4.2307E+001
208.2431,-4.1643E+001
208.2500,-4.1810E+001
208.2569,-4.1961E+001
208.2639,-4.2607E+001
208.2708,-4.0095E+001
208.2778,-3.6670E+001
208.2847,-3.5641E+001
208.2917,-3.5848E+001
208.2986,-3.6633E+001
208.3056,-3.7410E+001
208.3125,-3.7314E+001
208.3194,-3.5860E+001
208.3264,-3.3374E+001
208.3333,-3.0402E+001
208.3403,-3.0503E+001
208.3472,-2.9939E+001
208.3542,-2.9294E+001
208.3611,-2.5169E+001
208.3681,-1.9747E+001
208.3750,-1.1569E+001
208.3819,-8.5715E+000
208.3889,-6.5488E+000
208.3958,-1.0777E-001
208.4028,-1.2832E+001
208.4097,-1.7255E+001
208.4167,-1.7282E+001
208.4236,-1.1829E+001
208.4306,-1.0035E+001
208.4375,-1.9803E+001
208.4444,-1.4131E+001
208.4514,-1.5242E+001
208.4583,-1.8070E+001
208.4653,-2.4930E+001
208.4722,-6.4856E+001
208.4792,-4.1755E+001
208.4861,-3.7218E+001
208.4931,-7.9672E+001
208.5000,-9.9939E+001
208.5069,-1.2835E+002
208.5139,-9.9701E+001
208.5208,-1.4201E+002
208.5278,-1.6622E+002
208.5347,-1.4132E+002
208.5417,-1.2027E+002
208.5486,-1.7650E+002
208.5556,-1.9841E+002
208.5625,-1.7388E+002
208.5694,-1.7564E+002
208.5764,-1.5094E+002
208.5833,-1.8917E+002
208.5903,-2.0027E+002
208.5972,-1.7036E+002
208.6042,-2.5962E+002
208.6111,-2.4876E+002
208.6181,-2.0660E+002
208.6250,-1.2822E+002
208.6319,-6.6508E+001
208.6389,-2.0329E+002
208.6458,-3.7737E+002
208.6528,-2.0551E+002
208.6597,-3.4110E+002
208.6667,-3.0706E+002
208.6736,-2.0931E+002
208.6806,-1.6485E+002
208.6875,-1.5351E+002
208.6944,-1.9133E+002
208.7014,-1.7275E+002
208.7083,-1.9358E+002
208.7153,-1.3011E+002
208.7222,-7.1190E+001
208.7292,-7.7004E+001
208.7361,-1.0027E+002
208.7431,-9.7040E+001
208.7500,-1.2326E+002
208.7569,-5.2235E+001
208.7639,-2.7089E+001
208.7708,-5.9399E+001
208.7778,-6.7530E+001
208.7847,-4.1166E+001
208.7917,-3.6837E+001
208.7986,-5.0418E+001
208.8056,-6.2101E+001
208.8125,-5.8157E+001
208.8194,-5.0350E+001
208.8264,-6.5427E+001
208.8333,-5.6162E+001
208.8403,-6.4709E+001
208.8472,-5.1653E+001
208.8542,-6.9196E+001
208.8611,-6.3723E+001
208.8681,-7.4953E+001
208.8750,-7.4355E+001
208.8819,-5.2957E+001
208.8889,-5.4793E+001
208.8958,-6.4214E+001
208.9028,-5.4002E+001
208.9097,-6.1814E+001
