"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
205.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9593E-002,2.6126E-002,3.1707E-002,3.6961E-002,4.1849E-002,4.6224E-002
205.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7081E-002,2.0135E-002,2.1893E-002,2.2685E-002,2.3006E-002,2.3187E-002
205.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6406E-003,4.6861E-003,4.7061E-003,4.7190E-003,4.7264E-003,4.7307E-003
205.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6975E-003,1.6998E-003,1.7018E-003,1.7033E-003,1.7042E-003,1.7046E-003
205.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6665E-004,2.2446E-004,2.6373E-004,2.7514E-004,2.7626E-004,2.7651E-004
205.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.4078E-004,-6.7130E-004,-7.4025E-004,-7.6509E-004,-7.7266E-004,-7.7519E-004
205.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.6464E-004,3.8363E-004,5.3167E-003,2.7572E-002,9.8675E-002,2.0457E-001
205.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1246E-002,9.2983E-002,1.5986E-001,2.8306E-001,4.3724E-001,5.8938E-001
205.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2557E-002,5.4578E-002,6.6751E-002,8.5439E-002,1.1380E-001,1.4584E-001
205.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9922E-002,3.4967E-002,3.9432E-002,4.3554E-002,4.7495E-002,5.1162E-002
205.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8491E-002,9.2623E-002,1.0240E-001,1.0900E-001,1.1347E-001,1.1675E-001
205.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.7825E-002,1.1205E-001,1.2159E-001,1.2779E-001,1.3186E-001,1.3478E-001
205.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2535E-002,1.0609E-001,1.2520E-001,1.4112E-001,1.5437E-001,1.6558E-001
205.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7149E-002,6.7730E-002,7.4767E-002,7.9439E-002,8.2560E-002,8.4813E-002
205.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1253E-002,1.1168E-001,1.3158E-001,1.5130E-001,1.6926E-001,1.8482E-001
205.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9658E-002,3.5869E-002,4.0408E-002,4.3529E-002,4.5540E-002,4.6914E-002
205.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2799E-002,2.5932E-002,2.8055E-002,2.9446E-002,3.0350E-002,3.0990E-002
205.8750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1098E-002,3.3671E-002,3.5391E-002,3.6395E-002,3.6951E-002,3.7299E-002
205.9167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1788E-002,3.6283E-002,3.9755E-002,4.2326E-002,4.4179E-002,4.5585E-002
205.9583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7800E-002,3.1447E-002,3.4073E-002,3.5848E-002,3.7001E-002,3.7809E-002
206.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5990E-002,3.0156E-002,3.3504E-002,3.6153E-002,3.8171E-002,3.9749E-002
206.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4106E-002,2.6694E-002,2.8455E-002,2.9550E-002,3.0202E-002,3.0627E-002
206.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9304E-002,2.1892E-002,2.3697E-002,2.4885E-002,2.5656E-002,2.6200E-002
206.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7854E-002,2.1714E-002,2.4818E-002,2.7193E-002,2.8896E-002,3.0170E-002
206.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4895E-002,1.8497E-002,2.0892E-002,2.2372E-002,2.3160E-002,2.3583E-002
