time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
2020-08-13 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.065118,   -nan(ind),   -nan(ind),   -nan(ind),   66.390378,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-14 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.065350,   -nan(ind),   -nan(ind),   -nan(ind),  169.726304,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-15 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.065587,   -nan(ind),   -nan(ind),   -nan(ind),  117.890220,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-16 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.065827,   -nan(ind),   -nan(ind),   -nan(ind),  181.611937,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-17 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.452390,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.066072,   -nan(ind),   -nan(ind),   -nan(ind),  146.630707,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-18 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.030413,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.066322,   -nan(ind),   -nan(ind),   -nan(ind),  184.136395,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,    0.000000,    0.000001,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-19 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.066575,   -nan(ind),   -nan(ind),   -nan(ind),  151.660359,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-20 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.066832,   -nan(ind),   -nan(ind),   -nan(ind),  191.710390,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-21 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.067093,   -nan(ind),   -nan(ind),   -nan(ind),  131.489932,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-22 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.199584,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.067358,   -nan(ind),   -nan(ind),   -nan(ind),  144.509352,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-23 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.067627,   -nan(ind),   -nan(ind),   -nan(ind),  113.605351,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-24 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.067899,   -nan(ind),   -nan(ind),   -nan(ind),  134.593810,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-25 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.068175,   -nan(ind),   -nan(ind),   -nan(ind),   83.748452,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-26 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.068454,   -nan(ind),   -nan(ind),   -nan(ind),  157.742266,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
