Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       33  0.229167       16.9110       16.9110       16.9110      0.679185E-01  0.234519E-02  0.259428E-02  -153.786      -30.5358      -55.2857       0.00000       0.00000      -397.352      0.227700      0.500000      0.998805E-01   20.0017      -33.7910       0.00000       0.00000       0.00000       0.00000    
       34  0.236111       16.8357       16.8357       16.8357      0.104566      0.361115E-02  0.275943E-02  -186.150      -42.1379      -76.5721       0.00000       0.00000      -396.940      0.227700      0.500000      0.101592       19.9933      -33.9410       0.00000       0.00000       0.00000       0.00000    
       35  0.243056       16.7402       16.7402       16.7402      0.885125E-01  0.305731E-02  0.264562E-02  -165.282      -34.8692      -63.5800      0.232500E-01   0.00000      -396.417      0.227700      0.500000      0.102758       19.9876      -34.5098       0.00000       0.00000       0.00000       0.00000    
       36  0.250000       16.6581       16.6581       16.6581      0.118131      0.408104E-02  0.280166E-02  -197.563      -46.5002      -84.6223       1.12809       0.00000      -395.968      0.227700      0.500000      0.104251       19.9803      -34.7983       0.00000       0.00000       0.00000       0.00000    
       37  0.256944       16.5562       16.5562       16.5562      0.124253      0.429339E-02  0.281011E-02  -200.987      -47.7373      -87.5467       3.02157       0.00000      -395.411      0.227700      0.500000      0.105148       19.9759      -35.5149       0.00000       0.00000       0.00000       0.00000    
       38  0.263889       16.4527       16.4527       16.4527      0.120043      0.414874E-02  0.276794E-02  -193.683      -45.2154      -83.4748       5.18103       0.00000      -394.847      0.227700      0.500000      0.105892       19.9722      -36.2946       0.00000       0.00000       0.00000       0.00000    
       39  0.270833       16.3546       16.3546       16.3546      0.123028      0.425271E-02  0.276379E-02  -194.358      -45.6191      -84.3181       7.31445       0.00000      -394.312      0.227700      0.500000      0.106636       19.9686      -37.0085       0.00000       0.00000       0.00000       0.00000    
       40  0.277778       16.2568       16.2568       16.2568      0.975579E-01  0.337293E-02  0.261790E-02  -166.511      -36.3878      -65.9040       8.91870       0.00000      -393.780      0.227700      0.500000      0.107264       19.9655      -37.7563       0.00000       0.00000       0.00000       0.00000    
       41  0.284722       16.1772       16.1772       16.1772      0.111118      0.384234E-02  0.267389E-02  -178.600      -40.6711      -74.3334       11.6910       0.00000      -393.346      0.227700      0.500000      0.108226       19.9608      -38.1769       0.00000       0.00000       0.00000       0.00000    
       42  0.291667       16.0905       16.0905       16.0905      0.514607E-01  0.177976E-02  0.243068E-02  -135.157      -25.3656      -46.9903       13.4338       0.00000      -392.875      0.227700      0.500000      0.108841       19.9578      -38.8003       0.00000       0.00000       0.00000       0.00000    
       43  0.298611       16.0318       16.0318       16.0318      0.100767      0.348543E-02  0.258752E-02  -163.832      -35.7764      -65.4127       15.3868       0.00000      -392.556      0.227700      0.500000      0.109982       19.9522      -38.9259       0.00000       0.00000       0.00000       0.00000    
       44  0.305556       15.9553       15.9553       15.9553      0.934551E-01  0.323299E-02  0.253034E-02  -154.209      -32.6044      -59.4417       17.3603       0.00000      -392.141      0.227700      0.500000      0.110582       19.9493      -39.4403       0.00000       0.00000       0.00000       0.00000    
       45  0.312500       15.8855       15.8855       15.8855      0.881424E-01  0.304961E-02  0.248039E-02  -146.129      -29.8928      -54.6982       19.3096       0.00000      -391.763      0.227700      0.500000      0.111218       19.9462      -39.8697       0.00000       0.00000       0.00000       0.00000    
       46  0.319444       15.8213       15.8213       15.8213      0.545274E-01  0.188681E-02  0.236010E-02  -126.597      -22.9997      -42.8475       20.9808       0.00000      -391.414      0.227700      0.500000      0.111863       19.9430      -40.2361       0.00000       0.00000       0.00000       0.00000    
       47  0.326389       15.7697       15.7697       15.7697      0.980650E-01  0.339369E-02  0.249451E-02  -150.126      -31.5038      -58.3788       23.6406       0.00000      -391.135      0.227700      0.500000      0.112685       19.9390      -40.4035       0.00000       0.00000       0.00000       0.00000    
