time,30 cm,25 cm,20 cm,15 cm,10 cm,5 cm,air
25/05/2021 21:35,13.7221476000352,14.2841118916259,14.9305153128323,NaN,15.1841165598478,15.2091093994856,15.2150232559936
25/05/2021 21:45,13.729679275,14.2789024582954,14.8980377967046,NaN,15.1314833998056,15.1559009803348,15.1660719367366
25/05/2021 21:55,13.7364388500339,14.2719905083015,14.8668517828069,NaN,15.0712032798087,15.0971843194256,15.1078025665339
25/05/2021 22:05,13.7425317500916,14.2642147582712,14.8301486361247,NaN,15.0123415792304,15.0392300593981,15.0497035857438
25/05/2021 22:15,13.7479467000173,14.2563058666123,14.7925646867112,NaN,14.963554339842,14.9859720196655,14.996973709872
25/05/2021 22:25,13.752941975085,14.2479907082222,14.753720976039,NaN,14.9181452794213,14.9390342195506,14.9482892125204
25/05/2021 22:35,13.75719085,14.2391207166165,14.7201415433652,NaN,14.8766609998753,14.8967908197189,14.9017244515419
25/05/2021 22:45,13.7608546500675,14.2300978748833,14.6893896495168,NaN,14.8364824194694,14.8538104995593,14.8586538041186
25/05/2021 22:55,13.763942075,14.2210187332901,14.6594851000362,NaN,14.7903096998428,14.8085321397009,14.8174834150479
25/05/2021 23:05,13.7663562000094,14.2119997082801,14.6262637061317,NaN,14.7425986598447,14.7616805194994,14.7694670543679
25/05/2021 23:15,13.768378925,14.2019940665872,14.5864101133797,NaN,14.689140219799,14.7043175803056,14.7149530133911
25/05/2021 23:25,13.7696960000044,14.192095683289,14.5404523558671,NaN,14.6310144998025,14.651013979436,14.6581902198046
25/05/2021 23:35,13.770753400045,14.1826197915217,14.4906004325355,NaN,14.5695394793002,14.5919632393574,14.6034488373653
25/05/2021 23:45,13.7709993749933,14.1672577415975,14.43657140006,NaN,14.5129718998025,14.5322642196085,14.5393651598767
25/05/2021 23:55,13.7711969750142,14.1533305414308,14.3880877593,NaN,14.4556251592998,14.4741734994189,14.4833577040923
26/05/2021 00:05,13.77147035,14.1358605749061,14.3412613800552,NaN,14.4010663198203,14.4192169396404,14.4264811465358
26/05/2021 00:15,13.7710329499675,14.1184624914754,14.2910369592313,NaN,14.3478726993203,14.3631508594803,14.3667059623679
26/05/2021 00:25,13.7699805,14.0998451665639,14.2427978533873,NaN,14.2957727398261,14.308158679643,14.3101464367208
26/05/2021 00:35,13.7680683499923,14.080867174878,14.193454542613,NaN,14.2336825797941,14.2505596794241,14.2508612639495
26/05/2021 00:45,13.7654119,14.059260949876,14.1450172000557,NaN,14.1791043797955,14.1934724003729,14.1954750817199
26/05/2021 00:55,13.7623257249802,14.0350149165143,14.0899504558241,NaN,14.123177999818,14.1401948394603,14.1341369614933
26/05/2021 01:05,13.7585723749217,14.0075070246454,14.0360370790719,NaN,14.0664185192583,14.083092139415,14.0847361390577
26/05/2021 01:15,13.7540365249777,13.9781757165013,13.9818823667159,NaN,14.0174172198516,14.0324121996771,14.034573803204
26/05/2021 01:25,13.7486871249425,13.9498705330015,13.9422772860954,NaN,13.9735749593756,13.9864819795327,13.9878470593943
26/05/2021 01:35,13.74231065,13.9237966498464,13.9004911067182,NaN,13.9219169598433,13.9350184196505,13.9353715498604
26/05/2021 01:45,13.7352998498801,13.8952900496313,13.8567713960529,NaN,13.8769022194355,13.8867161595119,13.8927019810178
26/05/2021 01:55,13.72792425,13.8677587165182,13.815958046714,NaN,13.8320879198541,13.8416853796667,13.8495553650457
26/05/2021 02:05,13.7198834249642,13.8407702581648,13.7712323392484,NaN,13.7907707198671,13.7937036596105,13.8050782075494
26/05/2021 02:15,13.71155635,13.8091160414949,13.7240794900515,NaN,13.7458045198708,13.7516199803106,13.7588640633855
26/05/2021 02:25,13.7026237999696,13.7773643498244,13.6757407192501,NaN,13.7018063398343,13.7057116595252,13.7121197832427
26/05/2021 02:35,13.6929209248335,13.7451136079488,13.6343869427571,NaN,13.6595615594885,13.6658659196661,13.6723787760833
26/05/2021 02:45,13.6829617999544,13.7155699248419,13.5992026833742,NaN,13.6188086198598,13.6272848597275,13.6306471682542
26/05/2021 02:55,13.672647224831,13.6879671079703,13.5604640560276,NaN,13.5787073394815,13.5890785795848,13.5937006577573
26/05/2021 03:05,13.66162855,13.6561401664729,13.5174290500498,NaN,13.5436679998907,13.5473898797369,13.5510365465595
26/05/2021 03:15,13.6503762747886,13.6198371329061,13.4769534460776,NaN,13.5039140994129,13.5115203596009,13.5123495710832
26/05/2021 03:25,13.6387043,13.5885791581635,13.4372059167064,NaN,13.4642215998794,13.4731553397074,13.4743826400345
26/05/2021 03:35,13.6262926999482,13.5586501831841,13.403055479474,NaN,13.4276511998629,13.4344556996544,13.4365264911945
26/05/2021 03:45,13.613726025,13.5320502165072,13.3687919867039,NaN,13.3947562998613,13.4022231801792,13.4036670767028
26/05/2021 03:55,13.600937374942,13.5033730581766,13.3347807894591,NaN,13.3569347198983,13.369025919645,13.3427925566753
26/05/2021 04:05,13.5880546497812,13.4756990080501,13.301460872746,NaN,13.3188404594642,13.3335714196555,13.2944838544251
26/05/2021 04:15,13.5750355749451,13.4512720081861,13.2686401800355,NaN,13.284563299893,13.297141079791,13.2935322366082
26/05/2021 04:25,13.5619993748187,13.4222353579604,13.2320013927259,NaN,13.2528330195856,13.2614904796063,13.2657780295005
26/05/2021 04:35,13.548865425,13.3927561331773,13.1947156533729,NaN,13.215499579874,13.2277507397718,13.2268754882085
26/05/2021 04:45,13.5357874248021,13.3660511830397,13.1596634127889,NaN,13.1776014795652,13.1868325796123,13.184548949486
26/05/2021 04:55,13.52242945,13.3433450582153,13.1261673233661,NaN,13.1483889799342,13.154455659617,13.1545259967379
26/05/2021 05:05,13.5091610249428,13.3283381915362,13.0937002462541,NaN,13.1225608999626,13.1254234598431,13.1163568828266
26/05/2021 05:15,13.495830825,13.3206798416559,13.0703304500306,NaN,13.0966021398969,13.100061820179,13.0833829250189
26/05/2021 05:25,13.4822951499381,13.3186521333106,13.0517963631956,NaN,13.0753428399651,13.0748646396817,13.0648060116206
26/05/2021 05:35,13.4673084747258,13.3103760581757,13.0434675597787,NaN,13.0491266797892,13.0606575398834,13.0353452099102
26/05/2021 05:45,13.4523199999454,13.2930113248992,13.0238094266884,NaN,13.0310482599136,13.0456309798532,13.0311357732979
26/05/2021 05:55,13.4385612997616,13.2753427831253,13.0095759684054,NaN,13.0104948799827,13.0157921598337,13.0125704891389
